,Concejo,Parroquia,Tipo,Altitud,Población,Hombres,Mujeres,Viviendas,Latitud,Longitud,Nombre
0,Cangas de Onís,Abamia,Aldea,90m,17,6,11,9,43.3464846,-5.0627293,ABAMIA
1,Peñamellera Baja,Abándames,Lugar,84m,97,51,46,64,43.3255658,-4.6025915,ABANDAMES
2,Ponga,Abiegos,Lugar,518m,34,20,14,36,43.1944371,-5.1860893,ABIEGOS
3,Llanera,Ables,Lugar,170m,93,49,44,32,43.4285291,-5.8555631,ABLES
4,San Tirso de Abres,"San Tirso de Abres, San Salvador",Lugar,100m,54,27,27,25,43.439486,-7.0947509,ABRES
5,Candamo,Aces,Lugar,150m,70,33,37,56,43.4415627,-6.0701384,ACES
6,Cangas del Narcea,Adralés,Aldea,630m,64,30,34,21,43.1670284,-6.5697134,ADRALES
7,Belmonte de Miranda,Agüera,Casería,360m,4,2,2,3,27.1752554,78.0098161,AGUERA
8,Cangas del Narcea,Agüera del Coto,Aldea,750m,34,20,14,12,43.1174635,-6.6371912384894545,AGUERA DEL COTO
9,Oviedo,Agüeria,Lugar,175m,632,301,331,390,43.1600493,-5.7368112,AGUERIA
10,Somiedo,Aguino,Lugar,870m,10,7,3,8,42.528616,-9.023682752387913,AGUINO
11,Salas,Alava,Lugar,200m,26,13,13,24,42.844072249999996,-2.6820829322126283,ALAVA
12,Carreño,Albandi,Casería,33m,6,4,2,4,43.5661662,-5.7369812,ALBANDI
13,Teverga,Alesga,Lugar,740m,44,24,20,37,43.1356414,-6.072086356083469,ALESGA
14,Peñamellera Baja,Alevia,Lugar,351m,58,25,33,37,43.3346427,-4.5966272,ALEVIA
15,Valdés,Alienes,Aldea,500m,31,16,15,15,43.4412039,-6.3739372,ALIENES
16,Peñamellera Alta,Alles,Lugar,263m,187,100,87,147,43.3345449,-4.7070278,ALLES
17,Belmonte de Miranda,Almurfe,Casería,400m,5,2,3,6,43.1889317,-6.2792409,ALMURFE
18,Villaviciosa,Amandi,Casería,30m,7,3,4,2,42.4538609,-7.7054054,AMANDI
19,Carreño,Ambás,Lugar,140m,60,33,27,26,43.3177954,-6.1308,AMBAS
20,Carreño,Ambás,Lugar,140m,60,33,27,26,43.3177954,-6.1308,AMBAS
21,Cangas del Narcea,Ambres,Aldea,870m,19,15,4,4,43.7323682,1.8138056,AMBRES
22,Amieva,Amieva,Casería,625m,0,0,0,0,43.2450993,-5.0730662,AMIEVA
23,Piloña,Anayo,Aldea,460m,47,27,20,36,16.1950791,121.0727906,ANAYO
24,Navia,Andés,Lugar,60m,47,24,23,13,-32.6529485,-70.0118233,ANDES
25,Llanes,Andrín,Lugar,70m,159,77,82,194,43.3934044,-0.8988698,ANDRIN
26,Siero,Anes,Casería,310m,37,20,17,21,46.1870947,-0.9078872,ANES
27,Navia,Anleo,Aldea,130m,318,145,173,113,43.5086139,-6.6931831,ANLEO
28,Siero,Aramil,Lugar,50m,1,0,1,1,56.6954649,60.8504536,ARAMIL
29,"Franco, El",Arancedo,Casería,270m,69,36,33,24,43.5042501,-6.8270691,ARANCEDO
30,Pravia,Arango,Casería,80m,26,14,12,16,-38.9804437,-67.84567700430426,ARANGO
31,Villayón,Arbón,Lugar,122m,147,66,81,66,43.0007,0.747026,ARBON
32,Valdés,Arcallana,Lugar,290m,26,14,12,21,43.520582149999996,-6.309096519191916,ARCALLANA
33,Llanes,Ardisana,Lugar,195m,176,86,90,69,43.3863296,-4.9429422,ARDISANA
34,Morcín,Argame,Lugar,138m,185,89,96,120,43.3011599,-5.8843075,ARGAME
35,Tineo,Arganza,Aldea,310m,19,10,9,23,42.6411087,-6.6854111,ARGANZA
36,Amieva,Argolibio,Lugar,340m,42,25,17,25,43.2508626,-5.1204166,ARGOLIBIO
37,Siero,Argüelles,Lugar,216m,62,43,19,20,40.4307266,-3.7161715,ARGUELLES
38,Villaviciosa,Argüero,Aldea,171m,50,25,25,38,38.3085269,24.1468988,ARGUERO
39,Llanera,Arlós,Lugar,200m,2,2,0,2,42.8913078,0.7008607,ARLOS
40,Villaviciosa,Arnín,Aldea,80m,5,2,3,15,43.4502195,-5.3368006,ARNIN
41,Villaviciosa,Arroes,Barrio,143m,135,68,67,115,43.2344222,-1.0724022,ARROES
42,Quirós,Arrojo,Casería,0m,0,0,0,1,43.3746804,-7.0583342,ARROJO
43,Piloña,Artedosa,Lugar,230m,10,3,7,22,43.2003425,-5.1504334,ARTEDOSA
44,Avilés,Avilés,Villa,8m,78776,37708,41068,34244,43.5554436,-5.9222466,AVILES
45,Oviedo,Latores,Lugar,270m,113,55,58,60,43.3430779,-5.8946589,AYONES
46,Gijón,Baldornón,Lugar,230m,67,29,38,25,43.4565783,-5.5995891,BALDORNON
47,Cudillero,Ballota,Lugar,118m,131,63,68,152,43.3756192,-6.1919797,BALLOTA
48,Belmonte de Miranda,Belmonte,Villa,200m,404,191,213,256,43.1725888,-7.3958443,BALMONTE
49,Proaza,Bandujo,Aldea,660m,41,22,19,44,43.2209104,-6.0720242,BANDUJO
50,Gozón,Bañugues,Lugar,85m,311,152,159,127,43.636572,-5.8181564,BAÑUGUES
51,Tineo,Bárcena del Monasterio,Aldea,460m,6,2,4,5,43.3647084,-6.5170462,BARCENA DEL MONASTERIO
52,Santa Eulalia de Oscos,Santa Eulalia de Oscos,Aldea,710m,17,8,9,8,42.6290052,-8.1917339,BARCIA
53,Siero,Barreda,Lugar,213m,226,104,122,91,43.386580249999994,-5.7508888774457585,BARREDA (SAMIGUEL)
54,Carreño,Prendes,Casería,0m,0,0,0,,44.8275103,2.0956563,BARRES
55,Carreño,Candás,Barrio,0m,24,16,8,6,-17.0568696,-64.9912286,BARRIO
56,Llanes,Barro,Lugar,20m,110,56,54,188,-17.0568696,-64.9912286,BARRO
57,Langreo,Barros,Ciudad,211m,39901,18928,20973,18736,41.7175485,-8.3979586,BARROS
58,Grado,Santianes,Lugar,380m,15,7,8,31,45.7339859,9.5672642,BARZANA
59,Grado,Báscones,Lugar,240m,26,12,14,35,43.3603998,-5.9998227,BASCONES
60,Castrillón,Bayas,Lugar,85m,674,355,319,183,45.0610453,-0.2077002,BAYAS
61,Grado,Bayo,Aldea,265m,25,11,14,21,-46.7004616,-69.1970155,BAYO
62,Villaviciosa,Bedriñana,Lugar,50m,8,3,5,2,43.4827689,-5.4330588,BEDRIÑANA
63,Belmonte de Miranda,Begega,Aldea,640m,30,18,12,25,43.2898374,-6.3021353,BEGEGA
64,Belmonte de Miranda,Leiguarda,Aldea,310m,20,10,10,14,40.9217017,-1.4987972,BELLO
65,Belmonte de Miranda,Agüera,Casería,360m,4,2,2,3,39.5592831,-2.7038117,BELMONTE
66,Oviedo,Bendones,Aldea,310m,20,10,10,14,43.3363576,-5.806497,BENDONES
67,Onís,Benia de Onís,Lugar,220m,229,107,122,120,43.3350208,-4.9681463,BENIA DE ONIS
68,Ribadesella,Berbes,Lugar,80m,95,50,45,130,43.4735392,-5.1523143,BERBES
69,Grado,Berció,Lugar,185m,28,13,15,9,43.2588171,11.0510771,BERCIO
70,Piloña,Cereceda,Casería,190m,12,6,6,3,43.2331048,-6.7672319,BERDUCEDO
71,Cangas del Narcea,Bergame,Aldea,680m,0,0,0,0,45.756655699999996,9.754219200862249,BERGAME
72,Cangas del Narcea,Berguño,Aldea,680m,25,12,13,8,-39.8525495,-73.2332781,BERGUÑO
73,Quirós,Bermiego,Lugar,750m,85,39,46,78,43.2002367,-5.9778171,BERMIEGO
74,Gijón,Bernueces,Aldea,50m,727,348,379,264,43.5148044,-5.6425649,BERNUECES
75,Cabrales,Berodia,Lugar,400m,64,35,29,48,43.310511,-4.8813217,BERODIA
76,Cangas del Narcea,Besullo,Lugar,540m,100,52,48,45,43.1869987,-6.6331338,BESULLO
77,Cangas del Narcea,Besullo,Lugar,540m,100,52,48,45,43.1869987,-6.6331338,BESULLO
78,"Regueras, Las",Biedes,Aldea,240m,72,37,35,41,43.4267229,-5.9333963,BIEDES
79,Cangas del Narcea,Bimeda,Aldea,690m,10,6,4,4,43.0933208,-6.5299487,BIMEDA
80,San Martín del Rey Aurelio,Blimea,Casería,550m,0,0,0,3,43.2745191,-5.5904148,BLIMEA
81,Boal,Boal,Lugar,410m,170,85,85,120,43.41024025,-6.835153873473709,BOAL
82,Siero,Bobes,Lugar,211m,133,75,58,56,43.7403951,3.0397051,BOBES
83,Gijón,Lavandera,Aldea,300m,41,23,18,22,6.0742032,-5.835562,BOBIA
84,Gozón,Bocines,Lugar,50m,60,36,24,35,40.6554865,-4.1429689,BOCINES
85,Parres,Bode,Aldea,60m,59,32,27,67,67.2839476,14.3825834,BODE
86,Salas,Bodenaya,Aldea,660m,19,10,9,6,43.3999818,-6.3228373,BODENAYA
87,Llanera,Bonielles,Aldea,280m,61,32,29,20,43.4534585,-5.9062712,BONIELLES
88,Aller,Boo,Lugar,460m,486,252,234,261,59.3205986,18.2613337,BOO
89,Piloña,Borines,Casería,350m,6,4,2,4,43.3921397,-5.3187433,BORINES
90,Tineo,Borres,Aldea,668m,17,7,10,15,42.4918575,-6.7266298,BORRES
91,Oviedo,Box,Casería,370m,0,0,0,1,-37.8192774,145.1221311,BOX
92,Tineo,Brañalonga,Casería,635m,14,4,10,10,42.7914901,-8.4421221,BRAÑALONGA
93,Oviedo,Brañes,Lugar,200m,27,13,14,23,59.4783417,11.6853083,BRAÑES
94,Villaviciosa,Breceña,Casería,300m,11,6,5,4,43.4477419,-5.3880656,BRECEÑA
95,Taramundi,Bres,Lugar,340m,47,26,21,25,41.1539502,0.9774422,BRES
96,Lena,"Puentes, Las",Lugar,800m,14,6,8,12,49.4598673,2.3269895,BUELLES
97,Caso,Bueres,Aldea,680m,77,44,33,45,48.6940375,6.5759342,BUERES
98,Cabrales,Bulnes,Aldea,426m,20,13,7,11,-36.7422507,-72.2987216,BULNES
99,Allande,Bustantigo,Aldea,650m,2,1,1,4,43.3578745,-6.6904992,BUSTANTIGO
100,Cudillero,Piñera,Casería,320m,15,7,8,11,43.2473499,-5.7681545,BUSTIELLO
101,Aller,Cabañaquinta,Casería,540m,0,0,0,3,43.1617502,-5.623413,CABAÑAQUINTA
102,Lena,Cabezón,Lugar,820m,3,2,1,4,42.5973348,-6.9138406,CABEZON
103,Aller,Caborana,Lugar,350m,12,5,7,11,43.1749087,-5.7525888,CABORANA
104,Grado,Cabruñana,Lugar,357m,34,19,15,37,43.3982537,-6.122142,CABRUÑANA
105,Gijón,Cabueñes,Lugar,40m,254,125,129,130,43.5219209,-5.6065041,CABUEÑES
106,Oviedo,Caces,Lugar,130m,237,99,138,125,43.3319972,-5.933685,CACES
107,Valdés,Cadavedo,Lugar,90m,126,60,66,81,43.36624,-7.3737374,CADAVEDO
108,Gijón,Caldones,Lugar,120m,129,68,61,43,43.4837968,-5.626582,CALDONES
109,Llanes,Caldueño,Casería,200m,20,9,11,8,43.4238841,-4.764342999999999,CALDUEÑO
110,Caso,Caleao,Aldea,717m,173,103,70,143,43.1553089,-5.4125124,CALEAO
111,Tineo,Calleras,Aldea,230m,73,42,31,34,43.4198982,-6.4729539,CALLERAS
112,Villaviciosa,Camoca,Casería,70m,9,4,5,5,41.1759365,-0.9343648,CAMOCA
113,Caso,Campo de Caso,Villa,577m,181,85,96,116,43.1824824,-5.3443749,CAMPO DE CASO
114,Lena,Campomanes,Lugar,390m,674,329,345,472,38.8214351,-6.9250403,CAMPOMANES
115,Tapia de Casariego,Campos Y Salave,Casería,31m,10,5,5,7,43.5583793,-6.897718,CAMPOS Y SALAVE
116,Salas,Camuño,Casería,220m,2,1,1,1,43.423414,-6.2308399,CAMUÑO
117,Corvera de Asturias,Cancienes,Casería,210m,5,3,2,2,43.5104657,-5.8686626,CANCIENES
118,San Martín del Rey Aurelio,Cocañín,Lugar,510m,21,10,11,14,43.3227033,-5.6033525,CANDANAL
119,Carreño,Candás,Villa,40m,6652,3256,3396,3580,50.1068897,2.2587844,CANDAS
120,Valdés,Canero,Casería,119m,13,6,7,6,14.741429799999999,121.03237554373672,CANERO
121,Cangas de Onís,Abamia,Aldea,90m,17,6,11,9,43.31452925,-5.0656317434407505,CANGAS DE ONIS
122,Cangas del Narcea,Agüera del Coto,Aldea,750m,34,20,14,12,43.1774374,-6.5499784,CANGAS DEL NARCEA
123,Lena,Carabanzo,Lugar,490m,219,112,107,110,43.1854312,-5.7860441,CARABANZO
124,Proaza,Caranga,Aldea,250m,46,24,22,33,-15.263571,-73.9530246,CARANGA
125,Santo Adriano,Tuñón,Aldea,460m,14,9,5,10,43.224876550000005,-5.191358648242298,CARANGAS
126,Peñamellera Alta,Cáraves,Lugar,340m,22,12,10,13,43.3159397,-4.7281783,CARAVES
127,Caravia,Caravia La Alta,Casería,0m,13,10,3,13,40.6030589,-3.9382289,CARAVIA LA ALTA
128,Caravia,Caravia La Baja,Lugar,57m,149,75,74,64,32.5761688,-115.4647009,CARAVIA LA BAJA
129,Grandas de Salime,Grandas de Salime,Lugar,600m,0,0,0,1,43.2134123,-8.6891286,CARBALLO
130,Pravia,Villavaler,Aldea,470m,5,3,2,6,43.5171435,-6.2069969,CARCEDA
131,Gijón,Santurio,Aldea,98m,72,31,41,29,43.5411974,-6.0358786,CARCEDO
132,Villaviciosa,Carda,Casería,190m,3,2,1,4,43.6419762,11.7391018,CARDA
133,Gozón,Cardo,Aldea,55m,150,78,72,68,30.2623012,-110.6987443,CARDO
134,Villaviciosa,Careñes,Lugar,120m,10,5,5,13,43.5445745,-5.500623,CAREÑES
135,Colunga,Carrandi,Lugar,203m,121,63,58,153,43.4623939,-5.2688033,CARRANDI
136,Llanes,Carranzo,Lugar,120m,71,39,32,37,37.2734396,-6.834179,CARRANZO
137,Teverga,Carrea,Lugar,698m,24,15,9,39,43.1454449,-6.0704278,CARREA
138,Cabrales,Carreña,Lugar,200m,334,171,163,171,43.316009,-4.846857,CARREÑA
139,Carreño,Carrió,Aldea,60m,38,17,21,49,43.2116066,-3.6540794,CARRIO
140,Carreño,Carrió,Aldea,60m,38,17,21,49,43.2116066,-3.6540794,CARRIO
141,Coaña,Cartavio,Lugar,100m,226,107,119,105,43.5447149,-6.786506,CARTAVIO
142,Gijón,Porceyo,Lugar,110m,206,102,104,117,36.4433477,-5.2728863,CASARES
143,Oviedo,Pereda,Casería,300m,23,8,15,8,43.287059,-5.672119,CASIELLES
144,Aller,Casomera,Lugar,640m,165,89,76,117,43.0811699,-5.5772615,CASOMERA
145,Lena,Casorvida,Lugar,550m,30,13,17,47,43.0994747,-5.7910537,CASORVIDA
146,Santo Adriano,Castañedo del Monte,Casería,410m,2,1,1,1,43.0473327,-6.9930123,CASTAÑEDO
147,Santo Adriano,Castañedo del Monte,Casería,410m,2,1,1,1,43.0473327,-6.9930123,CASTAÑEDO
148,Santo Adriano,Castañedo del Monte,Casería,410m,2,1,1,1,43.0473327,-6.9930123,CASTAÑEDO
149,Santo Adriano,Castañedo del Monte,Casería,410m,2,1,1,1,43.2905741,-6.0005164,CASTAÑEDO DEL MONTE
150,Quirós,Arrojo,Casería,0m,0,0,0,1,43.1601544,-5.6686571,CASTAÑEO
151,Cabranes,Torazo,Lugar,360m,21,9,12,36,19.2402728,-70.02826810419197,CASTIELLO
152,Cabranes,Torazo,Lugar,360m,21,9,12,36,19.2402728,-70.02826810419197,CASTIELLO
153,Cabranes,Torazo,Lugar,360m,21,9,12,36,19.2402728,-70.02826810419197,CASTIELLO
154,Boal,Castrillón,Lugar,210m,55,29,26,36,43.545824350000004,-5.992429483375905,CASTRILLON
155,Castropol,Balmonte,Aldea,560m,4,2,2,3,43.5276581,-7.0300508,CASTROPOL
156,Parres,Cayarga,Casería,0m,3,2,1,1,43.3619416,-5.8445626,CAYARGA
157,Llanera,Cayés,Aldea,200m,41,18,23,17,-0.2545091,-78.5608151,CAYES
158,Villaviciosa,Cazanes,Aldea,70m,30,19,11,11,43.4759736,-5.4564934,CAZANES
159,Ponga,Cazo,Lugar,370m,25,14,11,40,43.3990199,2.9266553,CAZO
160,Nava,Ceceda,Lugar,250m,222,106,116,167,43.3591423,-5.4458144,CECEDA
161,Ibias,Cecos,Casería,340m,9,6,3,6,43.0229786,-6.8535813,CECOS
162,Villaviciosa,Celada,Casería,430m,3,2,1,1,18.2789962,-65.978635,CELADA
163,Noreña,Celles,Lugar,270m,14,7,7,8,45.2975677,0.4135916,CELLES
164,Noreña,Celles,Lugar,270m,14,7,7,8,45.2975677,0.4135916,CELLES
165,Allande,Celón,Aldea,530m,18,9,9,8,46.5192283,1.5004262,CELON
166,Cangas de Onís,Abamia,Aldea,90m,17,6,11,9,37.6893773,-5.0953765,CELORIO
167,Gijón,Cenero,Lugar,140m,157,77,80,36,39.3530334,-76.4087937,CENERO
168,Piloña,Cereceda,Casería,190m,12,6,6,3,40.3543364,-5.5610378,CERECEDA
169,Salas,Cermoño,Aldea,440m,5,3,2,7,43.3758183,-6.2106705,CERMOÑO
170,Degaña,Cerredo,Lugar,1250m,0,0,0,0,43.3802549,-7.0732566,CERREDO
171,Degaña,Cerredo,Lugar,1250m,0,0,0,0,43.3802549,-7.0732566,CERREDO
172,Tineo,Cezures,Aldea,710m,9,7,2,9,43.39926015,-6.3746387676550835,CEZURES
173,Cangas del Narcea,Cibea,Casería,620m,8,4,4,3,43.0685681,-6.4502417,CIBEA
174,Cangas del Narcea,Cibuyo,Aldea,500m,21,11,10,8,43.1240408,-6.5797156,CIBUYO
175,Quirós,Cienfuegos,Lugar,840m,22,13,9,84,22.1457501,-80.4526242,CIENFUEGOS
176,Somiedo,Clavillas,Lugar,730m,13,7,6,13,42.2409394,-6.9033636,CLAVILLAS
